# Survived mutants: 52
# generated from analysis/target/stryker4s-report/1782671913743/report.json
#
# by file:
#     32 src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala
#     14 src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala
#      6 src/main/scala/com/github/mercurievv/scalasemantic/model/InputTypes.scala
#
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:430:31  [MethodExpression] -> params.isEmpty
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:430:47  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:430:50  [MethodExpression] -> params.exists(_.isImplicit)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:464:9  [MethodExpression] -> h.linearize(sym).filterNot(keep)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:482:36  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:547:30  [BooleanLiteral] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:595:14  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:595:19  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:599:20  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:599:20  [ConditionalExpression] -> true
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:599:28  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:601:12  [MethodExpression] -> nodes.take(1)
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:603:47  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/Analyzer.scala:622:74  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:210:14  [ConditionalExpression] -> false
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:232:42  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:240:22  [LogicalOperator] -> ||
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:241:8  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:241:48  [EqualityOperator] -> !=
src/main/scala/com/github/mercurievv/scalasemantic/analysis/AnalyzerHelpers.scala:241:84  [LogicalOperator] -> ||
